# Time-averaged data for fix PressAve
# TimeStep c_P
12940000 112.698
12950000 114.69
12960000 27.0421
12970000 13.145
12980000 37.0448
12990000 -70.6985
13000000 -52.3255
13010000 104.722
13020000 -4.561
13030000 18.7117
13040000 136.273
13050000 -72.3218
13060000 -60.3039
13070000 -70.3587
13080000 -50.0034
13090000 107.874
13100000 76.336
13110000 -63.3994
13120000 -15.267
13130000 191.203
13140000 98.0877
13150000 13.4321
13160000 -23.4849
13170000 126.975
13180000 -13.0395
13190000 125.722
13200000 -94.3474
13210000 -81.4273
13220000 -108.437
13230000 162.779
13240000 167.271
13250000 102.434
13260000 18.6549
13270000 -81.3605
13280000 0.0553379
13290000 -12.048
13300000 -95.7739
13310000 221.414
13320000 84.3825
13330000 257.042
13340000 -180.27
13350000 -38.7283
13360000 66.0144
13370000 48.4722
13380000 79.099
13390000 117.317
13400000 246.308
13410000 -28.9702
13420000 -10.9906
13430000 13.4682
13440000 -58.9744
13450000 -17.4517
13460000 74.6691
13470000 134.257
13480000 1.13354
13490000 -41.9875
13500000 -141.374
13510000 -32.1187
13520000 -3.90038
13530000 119.834
13540000 -40.678
13550000 -57.6362
13560000 121.511
13570000 -1.67728
13580000 130.916
13590000 38.3016
13600000 -15.0295
13610000 87.7201
13620000 96.8651
13630000 76.0359
13640000 81.9295
13650000 293.676
13660000 53.6659
13670000 87.0739
13680000 79.812
13690000 161.127
13700000 12.1083
13710000 17.3355
13720000 -97.6609
13730000 77.4394
13740000 36.1264
13750000 28.7882
13760000 -82.2728
13770000 -46.5872
13780000 -89.6504
13790000 155.875
13800000 48.0702
13810000 168.931
13820000 74.8929
13830000 -90.5215
13840000 -80.4846
13850000 131.382
13860000 101.161
13870000 200.435
13880000 57.0678
13890000 -24.9846
13900000 -59.2322
13910000 -28.028
13920000 -80.5029
13930000 0.43946
13940000 72.3466
13950000 -224.761
13960000 -171.862
13970000 3.81552
13980000 111.165
13990000 -50.3861
14000000 -102.886
14010000 -150.978
14020000 11.7684
14030000 219.127
14040000 -125.271
14050000 95.1122
14060000 242.874
14070000 -71.3416
14080000 33.2168
14090000 36.267
14100000 -36.7942
14110000 -4.27831
14120000 -0.455844
14130000 -150.266
14140000 -177.642
14150000 5.99291
14160000 -64.0124
14170000 75.4519
14180000 -19.0766
14190000 -68.1948
